time/s,Ewe/V,<I>/mA
0.0,2.9077559,0.0
1.000000047497451,2.9078348,0.0
2.000000094994903,2.9079528,0.0
3.000000142492354,2.9079528,0.0
4.000000189989805,2.9080315,0.0
5.000000237487257,2.9081497,0.0
6.000000284984708,2.9081497,0.0
7.000000332482159,2.9081891,0.0
8.00000037997961,2.9082677,0.0
9.000000427477062,2.9082284,0.0
10.01000047544949,2.795892,-0.02176207637343837
10.01200047554448,2.794317,-10.98787732386799
25.01200118800625,2.7193868,-10.99129617644812
40.01200190046802,2.6931236,-10.9912323421972
55.01200261292979,2.6736331,-10.99114826779934
70.01200332539156,2.6581194,-10.99118426111937
85.01200403785333,2.6449289,-10.99130169440745
100.0120047503151,2.6336284,-10.991159824297
115.0120054627769,2.6235483,-10.99109913704403
130.0120061752386,2.6145709,-10.99131324848914
145.0120068877004,2.606499,-10.99133348761883
160.0120076001622,2.5991359,-10.99130038431331
175.0120083126239,2.5924816,-10.99128881103099
190.0120090250857,2.586221,-10.99136107118482
205.0120097375475,2.5805509,-10.99140021887787
220.0120104500093,2.5752354,-10.99141045549034
235.012011162471,2.5703135,-10.99146458324452
250.0120118749328,2.5657067,-10.99137551502671
265.0120125873946,2.5611787,-10.99140205743471
280.0120132998563,2.5570049,-10.99139811202067
295.0120140123181,2.5530281,-10.99132271872896
310.0120147247799,2.549248,-10.99127253079393
325.0120154372416,2.5454681,-10.9912194697562
340.0120161497034,2.5419242,-10.99135160984596
355.0120168621652,2.5383413,-10.99139995451936
370.012017574627,2.5351517,-10.99150950791483
385.0120182870887,2.5318444,-10.99145827131957
400.0120189995505,2.5287731,-10.99161958532253
415.0120197120123,2.5258987,-10.99151213407946
430.012020424474,2.5229456,-10.99136081089533
445.0120211369358,2.5200713,-10.99115273480963
460.0120218493976,2.5173545,-10.99130537991346
475.0120225618593,2.5145981,-10.99130563219209
490.0120232743211,2.5119994,-10.99127332221642
505.0120239867829,2.5094399,-10.99144723985138
520.0120246992446,2.5068018,-10.99137603929324
535.0120254117064,2.5044,-10.99149741608801
550.0120261241682,2.5018406,-10.9915373494815
565.01202683663,2.4993994,-10.99160381778075
580.0120275490917,2.4968796,-10.99145485691137
595.0120282615535,2.4945171,-10.99168999509396
610.0120289740153,2.4922726,-10.99160066747675
625.012029686477,2.4899495,-10.99145301988041
640.0120303989388,2.4877839,-10.99134530389736
655.0120311114006,2.4854608,-10.99153261887565
670.0120318238623,2.4833345,-10.99126070828472
685.0120325363241,2.4811296,-10.99131562123072
700.0120332487859,2.4790821,-10.99123916834332
715.0120339612477,2.4771132,-10.99113250102051
730.0120346737094,2.4750264,-10.99119109591213
745.0120353861712,2.4731364,-10.99112042305376
760.012036098633,2.4711282,-10.99113460508026
775.0120368110947,2.4692383,-10.99094386908163
790.0120375235565,2.4673483,-10.99131429943818
805.0120382360183,2.4653797,-10.99122208651125
820.01203894848,2.4636865,-10.9911038631994
835.0120396609418,2.4619145,-10.99079962813695
850.0120403734036,2.4601822,-10.99075550137411
865.0120410858653,2.4583316,-10.99063333951468
880.0120417983271,2.4566777,-10.99074919580698
895.0120425107889,2.4548271,-10.99064541938878
910.0120432232508,2.4532521,-10.99063990320964
925.0120439357124,2.4515197,-10.99063964609905
940.0120446481742,2.4499447,-10.99077284845479
955.012045360636,2.4482515,-10.99082696845242
970.0120460730976,2.4467554,-10.99084193656084
985.0120467855596,2.4451804,-10.99087819589241
1000.012047498021,2.4436054,-10.99116271253132
1015.012048210483,2.4420304,-10.99121105656894
1030.012048922945,2.4405341,-10.99118399739664
1045.012049635407,2.4390771,-10.9911895158646
1060.012050347868,2.4375415,-10.99102111657044
1075.01205106033,2.4359665,-10.99117900128787
1090.012051772792,2.4344704,-10.99115693288377
1105.012052485254,2.4331317,-10.9910536865813
1120.012053197715,2.4317141,-10.99095017375866
1135.012053910177,2.4303753,-10.99105632113826
1150.012054622639,2.4291942,-10.99106550565728
1165.012055335101,2.4277766,-10.99118557312085
1180.012056047563,2.4265561,-10.99108994400552
1195.012056760024,2.4253354,-10.99099982598307
1210.012057472486,2.4239967,-10.99106997711804
1225.012058184948,2.4229729,-10.99090498994326
1240.01205889741,2.4217522,-10.99088843962565
1255.012059609871,2.4204528,-10.99087897777816
1270.012060322333,2.4194686,-10.99099457937585
1285.012061034795,2.4181297,-10.99101269435506
1300.012061747257,2.4171062,-10.99089448210583
1315.012062459718,2.4160824,-10.99070137959628
1330.01206317218,2.4149404,-10.99082801406089
1345.012063884642,2.4138772,-10.99109335625206
1360.012064597104,2.4126568,-10.99116560547043
1375.012065309566,2.4116724,-10.99096383444323
1390.012066022027,2.410491,-10.99102321338227
1405.012066734489,2.4093885,-10.99112935173375
1420.012067446951,2.4084041,-10.9910444985019
1435.012068159413,2.4074593,-10.99099668254551
1450.012068871874,2.4063172,-10.99104896551219
1465.012069584336,2.4054117,-10.99110570798691
1480.012070296798,2.4044666,-10.99103870130674
1495.01207100926,2.4036791,-10.99113827888787
1510.012071721721,2.402813,-10.99110780823197
1525.012072434183,2.4018285,-10.99115667386584
1540.012073146645,2.4010017,-10.99107365753779
1555.012073859107,2.4001749,-10.99110991025722
1570.012074571569,2.3991904,-10.99104790680659
1585.01207528403,2.3983636,-10.99111752629995
1600.012075996492,2.3975761,-10.9911755797589
1615.012076708954,2.3967886,-10.99122761324439
1630.012077421416,2.3958831,-10.99127042800574
1645.012078133877,2.3951743,-10.99141046286542
1660.012078846339,2.3943868,-10.99153287878368
1675.012079558801,2.3935993,-10.99158674421386
1690.012080271263,2.3928118,-10.99145512330438
1705.012080983724,2.3919849,-10.9915686174091
1720.012081696186,2.3912368,-10.99151318439273
1735.012082408648,2.3904886,-10.99154497048334
1750.01208312111,2.3897798,-10.99139968520175
1765.012083833572,2.3890319,-10.99121053230241
1780.012084546033,2.3883231,-10.9912903964191
1795.012085258495,2.3875356,-10.99146011470836
1810.012085970957,2.3867481,-10.99148822839009
1825.012086683419,2.3859212,-10.991322709828
1840.01208739588,2.3852124,-10.99121000256814
1855.012088108342,2.3844249,-10.99116902191314
1870.012088820804,2.3838344,-10.99131009996532
1885.012089533266,2.3830469,-10.99114327436086
1900.012090245727,2.3824956,-10.99120396517422
1915.012090958189,2.3817475,-10.99121999465852
1930.012091670651,2.38096,-10.9912073781837
1945.012092383113,2.3804088,-10.99125808453607
1960.012093095575,2.3793061,-10.99105500405052
1975.012093808036,2.3785975,-10.99111490051679
1990.012094520498,2.3777707,-10.99117637334305
2005.01209523296,2.3770618,-10.99101296964903
2020.012095945422,2.376235,-10.9911495822168
2035.012096657883,2.3755655,-10.99103057562048
2050.012097370345,2.3748174,-10.99108547076456
2065.012098082807,2.3740695,-10.99098196162947
2080.012098795269,2.3734,-10.99091339664554
2095.01209950773,2.3726912,-10.99095543753201
2110.012100220192,2.371825,-10.9910132294299
2125.012100932654,2.3709981,-10.99115508873204
2140.012101645116,2.3704863,-10.99118320343102
2155.012102357578,2.3696988,-10.99099930553123
2170.012103070039,2.3690293,-10.99101217975242
2185.012103782501,2.3684781,-10.99084561596333
2200.012104494963,2.3676119,-10.99073212071421
2215.012105207425,2.3671,-10.99079596488334
2230.012105919886,2.3664701,-10.99079570014336
2245.012106632348,2.3658006,-10.99092100963651
2260.01210734481,2.3650918,-10.99077126891588
2275.012108057272,2.3643832,-10.99089369767695
2290.012108769733,2.3639107,-10.99075444851771
2305.012109482195,2.3633201,-10.99083405882989
2320.012110194657,2.36269,-10.99079491177263
2335.012110907119,2.3619025,-10.99081567160847
2350.012111619581,2.3613119,-10.99091996771558
2365.012112332042,2.3604851,-10.99099378528308
2380.012113044504,2.3599339,-10.99104554156724
2395.012113756966,2.359107,-10.99108416715541
2410.012114469428,2.3584769,-10.99092679615052
2425.012115181889,2.3579257,-10.99085533568435
2440.012115894351,2.3571775,-10.99094754962854
2455.012116606813,2.3565869,-10.99096015453211
2470.012117319275,2.3559568,-10.99102163676796
2485.012118031736,2.3552876,-10.99094649677214
2500.012118744198,2.3545394,-10.99080805378555
2515.01211945666,2.3538702,-10.99087556642171
2530.012120169122,2.3532007,-10.99090156777851
2545.012120881584,2.3524919,-10.99073685284594
2560.012121594045,2.3517833,-10.99086321812009
2575.012122306507,2.3511531,-10.99083825461521
2590.012123018969,2.3503656,-10.9908810815836
2605.012123731431,2.3495781,-10.99083352617102
2620.012124443892,2.3489089,-10.99088765036482
2635.012125156354,2.3484364,-10.99102504596275
2650.012125868816,2.3476882,-10.99096909414757
